statement_date;symbol;revenue;grossProfit;operatingIncome;netIncome;eps
2024-12-31;BLK;20407000000;10086000000;7574000000;6369000000;42.46
2023-12-31;BLK;17859000000;8347000000;6275000000;5502000000;36.85
2022-12-31;BLK;17873000000;8787000000;6385000000;5178000000;34.31
2021-12-31;BLK;19374000000;9818000000;7450000000;5901000000;38.76
2020-12-31;BLK;16205000000;8266000000;5695000000;4932000000;32.13
2024-12-31;BRK-B;371433000000;371433000000;345791000000;88995000000;61.9
2023-12-31;BRK-B;364482000000;123196000000;123196000000;96223000000;44.27
2022-12-31;BRK-B;302089000000;177770000000;37323000000;-22819000000;-10.36
2021-12-31;BRK-B;354636000000;193405000000;111686000000;89937000000;39.64
2020-12-31;BRK-B;286256000000;110467000000;55693000000;42521000000;17.78
2024-12-31;GS;53512000000;53512000000;18397000000;14276000000;41.22
2023-12-31;GS;46254000000;46254000000;10739000000;8516000000;23.05
2022-12-31;GS;47365000000;47365000000;13486000000;11261000000;30.57
2021-12-31;GS;59339000000;59339000000;27044000000;21635000000;60.35
2020-12-31;GS;44559000000;44559000000;12479000000;9459000000;25.01
2024-12-31;JPM;166878000000;166878000000;84633000000;58471000000;19.79
2023-12-31;JPM;145670000000;145670000000;70543000000;49552000000;16.25
2022-12-31;JPM;128641000000;128641000000;52523000000;37676000000;12.1
2021-12-31;JPM;121685000000;121685000000;65024000000;48334000000;15.39
2020-12-31;JPM;119883000000;119883000000;41756000000;29131000000;8.89
2024-12-31;STT;13000000000;12563000000;-13054000000;2687000000;9.71
2023-12-31;STT;11945000000;11519000000;2743000000;1944000000;5.65
2022-12-31;STT;12148000000;11754000000;4757000000;2774000000;7.28
2021-12-31;STT;12027000000;11583000000;3171000000;2693000000;7.3
2020-12-31;STT;11703000000;11214000000;2899000000;2420000000;6.4
